,route_id_weekday,18~19_ride_route_id_weekday_mean,18~19_ride_route_id_weekday_sum
465,1187_4536_4,2.0,8
466,1187_4536_5,1.5,6
467,1187_4536_6,1.0,2
468,1187_4582_0,1.5,3
469,1187_4582_2,1.25,5
470,1187_4582_3,1.5,3
471,1187_4582_4,1.0,3
472,1187_4582_5,1.0,3
473,1187_4582_6,1.0,1
474,1187_4585_0,1.5714285714285714,11
475,1187_4585_1,2.1666666666666665,13
476,1187_4585_2,3.1666666666666665,19
477,1187_4585_3,1.5714285714285714,11
478,1187_4585_4,2.0,10
479,1187_4585_5,1.5,6
480,1187_4585_6,1.0,3
481,1187_4586_0,1.0,2
482,1187_4586_1,1.0,4
483,1187_4586_2,1.0,2
484,1187_4586_3,1.0,1
485,1187_4586_4,1.0,4
486,1187_4586_5,1.0,3
487,1187_4586_6,1.5,3
488,1187_4631_2,1.0,1
489,1187_4631_3,1.0,3
490,1187_4631_4,1.0,1
491,1187_4631_5,1.0,2
492,1187_4632_6,1.0,1
493,228(화순전대병원)_1003_0,3.0,18
494,228(화순전대병원)_1003_1,1.75,7
495,228(화순전대병원)_1003_2,1.0,5
496,228(화순전대병원)_1003_3,5.166666666666667,31
497,228(화순전대병원)_1003_4,6.0,36
498,228(화순전대병원)_1003_5,5.857142857142857,41
499,228(화순전대병원)_1003_6,7.166666666666667,43
500,228(화순전대병원)_1004_0,3.8333333333333335,23
501,228(화순전대병원)_1004_1,2.4,12
502,228(화순전대병원)_1004_2,1.8571428571428572,13
503,228(화순전대병원)_1004_3,3.0,21
504,228(화순전대병원)_1004_4,5.142857142857143,36
505,228(화순전대병원)_1004_5,5.428571428571429,38
506,228(화순전대병원)_1004_6,3.0,18
507,228(화순전대병원)_1005_0,2.8,14
508,228(화순전대병원)_1005_1,2.857142857142857,20
509,228(화순전대병원)_1005_2,4.0,24
510,228(화순전대병원)_1005_3,5.142857142857143,36
511,228(화순전대병원)_1005_4,5.571428571428571,39
512,228(화순전대병원)_1005_5,3.5714285714285716,25
513,228(화순전대병원)_1005_6,2.3333333333333335,14
514,228(화순전대병원)_1006_0,3.0,21
515,228(화순전대병원)_1006_1,2.5,10
516,228(화순전대병원)_1006_2,4.0,24
517,228(화순전대병원)_1006_3,3.3333333333333335,20
518,228(화순전대병원)_1006_4,4.428571428571429,31
519,228(화순전대병원)_1006_5,2.3333333333333335,14
520,228(화순전대병원)_1006_6,2.0,6
521,228(화순전대병원)_1007_0,5.285714285714286,37
522,228(화순전대병원)_1007_1,5.0,35
523,228(화순전대병원)_1007_2,5.285714285714286,37
524,228(화순전대병원)_1007_3,5.285714285714286,37
525,228(화순전대병원)_1007_4,3.7142857142857144,26
526,228(화순전대병원)_1007_5,3.8333333333333335,23
527,228(화순전대병원)_1007_6,2.0,8
528,228(화순전대병원)_1008_0,5.0,35
529,228(화순전대병원)_1008_1,4.166666666666667,25
530,228(화순전대병원)_1008_2,4.0,28
531,228(화순전대병원)_1008_3,5.0,35
532,228(화순전대병원)_1008_4,4.285714285714286,30
533,228(화순전대병원)_1008_5,3.5,21
534,228(화순전대병원)_1008_6,2.3333333333333335,7
535,228(화순전대병원)_1045_0,2.25,9
536,228(화순전대병원)_1045_1,2.0,14
537,228(화순전대병원)_1045_2,2.0,14
538,228(화순전대병원)_1045_3,1.8333333333333333,11
539,228(화순전대병원)_1045_4,1.5,9
540,228(화순전대병원)_1045_6,1.0,2
541,228(화순전대병원)_1046_0,4.428571428571429,31
542,228(화순전대병원)_1046_1,2.8333333333333335,17
543,228(화순전대병원)_1046_2,2.5714285714285716,18
544,228(화순전대병원)_1046_3,4.285714285714286,30
545,228(화순전대병원)_1046_4,2.5714285714285716,18
546,228(화순전대병원)_1046_5,1.6,8
547,228(화순전대병원)_1046_6,1.5,6
548,228(화순전대병원)_1074_4,2.0,2
549,228(화순전대병원)_1075_0,1.0,1
550,228(화순전대병원)_1075_1,1.0,3
551,228(화순전대병원)_1075_2,1.5,3
552,228(화순전대병원)_1075_3,1.0,2
553,228(화순전대병원)_1075_4,1.0,2
554,228(화순전대병원)_1076_0,1.0,1
555,228(화순전대병원)_1076_2,1.5,3
556,228(화순전대병원)_1076_3,1.0,1
557,228(화순전대병원)_1076_4,1.0,1
558,228(화순전대병원)_1076_5,1.0,1
