idx,target,m,s
5001,일곡38_4512,3.129277567,1646
5002,일곡38_4513,2.463687151,1323
5003,일곡38_2001,5.563694268,5241
5004,일곡38_2002,5.616499443,5038
5005,일곡38_2003,3.086567164,2068
5006,일곡38_2004,1.868421053,1136
5007,일곡38_4590,1.453757225,503
5008,일곡38_4591,1.592207792,613
5009,일곡38_4253,1.441176471,196
5010,일곡38_4254,2.412030075,1604
5011,일곡38_5220,1.347003155,427
5012,일곡38_5221,1.88117284,1219
5013,일곡38_2189,2.538116592,566
5014,일곡38_2211,2.055882353,699
5015,일곡38_2212,1.816455696,861
5016,일곡38_2131,1.505714286,527
5017,일곡38_2328,1.822222222,984
5018,일곡38_4515,1.517167382,707
5019,일곡38_4530,2.986951364,2518
5020,일곡38_4379,1.9584,1224
5021,일곡38_4380,2.402214022,1953
5022,일곡38_4415,1.927672956,613
5023,일곡38_4564,4.502659574,1693
5024,일곡38_5225,6.226415094,1650
5025,일곡38_1119,5.063591022,4061
5026,일곡38_4520,2.195121951,1170
5027,일곡38_4425,3.297491039,2760
5028,일곡38_4416,2.773611111,1997
5029,일곡38_4417,4.603229527,3991
5030,일곡38_4439,1.752969121,738
5031,일곡38_4440,1.834666667,688
5032,일곡38_2191,2.244117647,1526
5033,일곡38_2192,3.211678832,2640
5034,일곡38_5236,4.850332594,4375
5035,일곡38_2355,1.447115385,301
5036,일곡38_2356,1.362204724,173
5037,일곡38_4553,2.480589023,1853
5038,일곡38_4554,3.48422198,3202
5039,일곡38_4368,3.62962963,3234
5040,일곡38_4369,1.755639098,934
5041,일곡38_4493,1.685466377,777
5042,일곡38_4521,1.372781065,464
5043,일곡38_4466,7.425882353,3156
5044,일곡38_4469,1.483870968,276
5045,일곡38_4252,2.778067885,2128
5046,일곡38_4255,3.029850746,1827
5047,일곡38_2217,4.016304348,3695
5048,일곡38_2225,1.761616162,872
5049,일곡38_2226,2.036290323,1010
5050,일곡38_4421,1.732600733,946
