idx,target,m,s
768,5736_1,4.763744428,3206
769,5754_1,4.442477876,1004
770,5755_1,2.270718232,411
771,5399_1,2.102739726,307
772,5400_1,1.751937984,226
773,4054_1,5.159574468,1940
774,4614_1,2.730994152,934
775,4615_1,3.246511628,1396
776,5502_1,1.256410256,49
777,5503_1,1.642857143,92
778,5401_1,1.776119403,476
779,5402_1,5.251373626,3823
780,4066_1,2.930232558,1890
781,5258_1,2.385665529,699
782,5259_1,2.562300319,802
783,5167_1,4.450777202,859
784,5168_1,2.559322034,302
785,4084_1,5.176375405,3199
786,4085_1,3.820334262,2743
787,5284_1,1.568888889,353
788,5480_1,1.666666667,35
789,5908_1,3.6375,291
790,5911_1,1.870689655,217
791,5902_1,5.242105263,498
792,5904_1,2.686567164,180
793,5443_1,3.954653938,1657
794,5261_1,5.439922481,2807
795,5262_1,4.704980843,2456
796,5263_1,1.587837838,235
797,5264_1,2.201834862,480
798,5410_1,2.25087108,1292
799,4612_1,3.540178571,1586
800,4613_1,3.932263815,2206
801,5486_1,2.312,289
802,5910_1,2.142857143,75
803,5301_1,1.904958678,461
804,5302_1,2.211726384,679
805,5562_1,2.361904762,248
806,5563_1,1.821428571,102
807,5516_1,1.735849057,92
808,5644_1,2.111111111,19
809,3342_1,3.233532934,540
810,1110_1,1,13
811,4514_1,2.02,303
812,3344_1,1.37755102,135
813,3345_1,4.948275862,1148
814,1692_1,1.490566038,79
815,1693_1,2.128205128,83
816,1690_1,1.448275862,84
817,1691_1,1.323529412,45
818,3095_1,1.442708333,277
819,2171_1,1.310810811,97
820,1148_1,11.33694475,10464
821,3312_1,1.2,36
822,5271_1,4.648414986,3226
823,5272_1,3.75397974,2594
824,5169_1,1.544152745,647
825,5717_1,4.946031746,3116
826,5294_1,4.536144578,5271
827,5295_1,2.849892009,2639
828,5566_1,2.080979284,1105
829,5714_1,4.112040134,2459
830,5715_1,2.494623656,464
831,5244_1,2.011173184,720
832,5279_1,2.621399177,1274
833,5206_1,1.613718412,447
834,5207_1,1.687898089,795
835,5149_1,3.004734848,3173
836,5254_1,2.357710652,1483
837,5208_1,1.977711738,1331
838,5209_1,1.683501684,500
839,5303_1,4.604286892,5585
840,5304_1,2.849705305,2901
841,5181_1,1.533546326,480
842,5182_1,1.518716578,284
843,5183_1,4.546875,3201
844,5184_1,3.138738739,1742
845,5185_1,3.1171875,1995
846,5186_1,5.512224939,4509
847,5187_1,3.345132743,1890
848,5188_1,3.874125874,2216
849,5191_1,3.873737374,2301
850,5192_1,5.441441441,3624
851,5111_1,8.245535714,7388
852,5112_1,4.821301775,4074
853,5194_1,5.14084507,4380
854,5195_1,4.563829787,3861
855,5214_1,1.963362069,911
856,5257_1,1.80794702,819
857,5309_1,5.868965517,4255
858,5310_1,6.217447917,4775
859,5522_1,1.623115578,323
860,5523_1,1.78125,513
861,5166_1,3.452745275,3836
862,5260_1,2.581632653,1518
863,5418_1,2.904761905,915
864,5753_1,5.391696751,2987
865,2404_1,2.87,287
866,2408_1,2.068965517,120
867,2409_1,1.444444444,39
868,2189_1,1.456521739,134
869,2038_1,1.459016393,89
870,2029_1,2.235294118,266
871,2030_1,1.08,27
872,2043_1,1.344827586,39
873,2044_1,1.802816901,128
874,2158_1,2.839572193,531
875,2159_1,1.203389831,71
876,2400_1,1.351851852,73
877,2401_1,2.395833333,230
878,2405_1,2.092105263,159
879,2031_1,4.161423841,5027
880,2162_1,1,6
881,2170_1,1.563636364,86
882,2336_1,2.47826087,228
883,2406_1,2.292035398,259
884,2407_1,1.686567164,113
885,2402_1,1.32,66
886,2403_1,3.009259259,325
887,2346_1,2.864864865,530
888,2419_1,3.587301587,226
889,2257_1,1.268421053,241
890,2418_1,1.634920635,103
891,4435_1,4.444505194,8129
892,4437_1,1.920821114,655
893,4664_1,2.576470588,219
894,4383_1,4.977099237,652
895,4467_1,7.606690778,8413
896,4658_1,2.354166667,226
897,4659_1,2.96,296
898,4475_1,10.06156406,12094
899,4481_1,7.748526523,7888
900,4663_1,26.125,3762
901,3317_1,2.404494382,214
902,3318_1,4.535714286,254
903,4438_1,1.858208955,498
904,4665_1,2.701923077,281
905,4661_1,2.183098592,155
906,4468_1,3.695187166,691
907,4338_1,2.707798618,2743
908,4345_1,2.163076923,1406
