idx,name,i,r,dong_name,dist
2307,김대중컨벤션센터(마륵)역(북),2328,순환01(시청행),마륵동,마륵동
2308,광주대입구,3228,일곡28,진월동, 남구 
2309,전자공고,5443,봉선27,산월동,산월동
2310,두암지구입구,1021,지원15,산수1동, 동구 
2311,동천6단지,4665,마을777(우치공원),운암1동, 북구 
2312,법원,1054,진월17,지산1동, 동구 
2313,용봉초교,4344,송암47,신안동, 북구 
2314,효천천년나무3단지,3289,진월79,행암동,행암동
2315,진월대주아파트,3242,진월75,진월동, 남구 
2316,광주디자인센터,5958,송정33,오룡동,오룡동
2317,첨단2동행정복지센터,5446,첨단22,월계동,월계동
2318,힐스테이트 각화,4655,두암81(각화초교),각화동,각화동
2319,대광여고,3209,진월77,주월1동, 남구 
2320,모아제일아파트,2065,상무64,상무1동, 서구 
2321,전남대병원오거리,1045,봉선37,남동,남동
2322,광주종합버스터미널,2002,선운14,광천동, 서구 
2323,마재대주아파트,2023,송암74,금호2동, 서구 
2324,국립아시아문화전당(구.도청),1122,첨단95,금남로1가,금남로1가
2325,비엔날레전시관,4381,419,용봉동, 북구 
2326,하남중,5321,송정98,산정동,산정동
2327,월곡시장,5315,금호46,월곡2동, 광산구 
2328,광주지방경찰청입구,5659,마을700,소촌동,소촌동
2329,중외마을,4212,송정29,매곡동, 북구 
2330,서구청,2059,봉선37,농성2동, 서구 
2331,도천저수지,5766,일곡10,도천동,도천동
2332,교육대,4561,수완03,풍향동, 북구 
2333,수완중흥S-클래스 1차,5728,송정33,신가동, 광산구 
2334,농산물품질관리원,5656,첨단20,쌍암동,광산구
2335,서창농협,2019,진월75,금호1동, 서구 
2336,문흥지구입구(남),4239,금남55,각화동,각화동
2337,금남로5가역,1113,수완49,금남로5가,금남로5가
2338,진월대주아파트,3242,진월79,진월동, 남구 
2339,송암동,3157,마을715(대촌),행암동,행암동
2340,하남초교,5764,선운101,하남동, 광산구 
2341,금남로4가역,1112,1187,금남로5가,금남로5가
2342,법원입구,1057,순환01(운천저수지),지산1동, 동구 
2343,신가주공아파트,5185,마을720,신가동, 광산구 
2344,5.18기념문화센터,2063,금호46,상무1동, 서구 
2345,동산아파트,1058,운림35,지산2동, 동구 
2346,살레시오여고,1018,순환01(운천저수지),동명동, 동구 
2347,송정초교,5010,진곡196,도산동, 광산구 
2348,서구청,2050,송정19,농성1동, 서구 
2349,송정I.C,5207,진곡196,신촌동,신촌동
2350,남광주역,1142,운림50,학동, 동구 
2351,성산맨션,4386,용봉83,용봉동, 북구 
2352,쌍촌시영아파트,2084,매월61(세하),상무2동, 서구 
2353,광주여대,5274,송정33,우산동, 북구 
2354,광주여대,5274,송정33,우산동, 광산구 
2355,광주일고/광주고용센터,4512,문흥39,북동,북동
2356,버들마을,2191,금호46,쌍촌동,쌍촌동
2357,전남대,4347,금남57,신안동, 북구 
2358,문화전당역,1130,송정98,광산동,광산동
2359,삼각그린타운,4255,일곡38,삼각동, 북구 
2360,신용중입구,4620,마을799,신용동, 북구 
2361,살레시오고입구,4469,송정29,일곡동, 북구 
2362,양산호수공원,4080,마을788,양산동, 북구 
2363,생룡,4046,용전184,생용동,북구
2364,지원2동행정복지센터,1685,봉선37,용산동,용산동
2365,운림중,1160,좌석02,운림동,운림동
2366,상공회의소,2056,지원25,농성2동, 서구 
2367,농산물공판장,3007,매월06,각화동,각화동
2368,동산교차로,2351,금호36,매월동,매월동
2369,영천초교,5312,송정29,월곡1동, 광산구 
2370,화정중,2300,송암73,화정2동, 서구 
2371,신안사거리,4343,용봉83,신안동, 북구 
2372,흑석사거리(동),5578,송정33,흑석동,흑석동
2373,기아자동차,2186,선운14,내방동,내방동
2374,서창농협,2020,진월75,금호2동, 서구 
2375,농장다리,1051,송암74,동명동, 동구 
2376,현대자동차,2008,518,광천동, 서구 
2377,경신여고,4434,마을777,운암2동, 북구 
2378,목련마을,5294,문흥39,운남동, 광산구 
2379,충장치안센터,1135,금남59,충장로4가,동구
2380,서광주세무서,2075,매월16,상무2동, 서구 
2381,계수,2174,일곡38,유촌동,서구
2382,5.18기념문화센터,2062,첨단22,상무1동, 서구 
2383,동강대,4564,송암47,풍향동, 북구 
2384,양림휴먼시아2차,3078,순환01(운천저수지),방림1동, 남구 
2385,해태아파트,2206,금호36,내방동,내방동
2386,향토문화거리입구,4424,419,우산동, 북구 
2387,향토문화거리입구,4424,419,우산동, 광산구 
2388,효천초교,3288,봉선76,행암동,행암동
2389,광천치안센터,2004,매월26,광천동, 서구 
