idx,i,dis_5159,dis_5745,dis_5445,dis_4475,dis_4406,dis_2002,dis_2232,dis_1130,dis_3236,time
128,1685,12.99234521,12.63528161,13.35767875,9.764926547,6.361093159,6.630641825,8.327166652,3.164460671,3.091839311,18_20
129,1690,12.19535413,9.973214659,9.972299021,5.858674009,2.448408007,4.10031434,6.367699531,1.107031015,4.675181251,18_20
130,1691,12.19108849,9.989571975,9.999008395,5.89431995,2.483519956,4.108164223,6.371793316,1.073669568,4.642681356,18_20
131,1693,12.11649055,9.741417032,9.679477289,5.535826057,2.125880671,3.934194314,6.226125721,1.336528895,4.875457457,18_20
132,2001,8.397830679,6.02802317,6.829308288,4.944324062,3.334111977,0.053121683,2.316151382,3.947625609,5.091079305,18_20
133,2002,8.393406637,6.065419657,6.880206635,4.989021985,3.347015163,0,2.321684225,3.914836767,5.038388175,18_20
134,2003,8.828205017,6.185149704,6.75571583,4.545049937,2.885593027,0.491779374,2.717536292,3.783710339,5.271702906,18_20
135,2004,8.820540686,6.241373305,6.835669464,4.618328552,2.902549681,0.451778579,2.719822473,3.723537834,5.186784447,18_20
136,2007,8.270266549,5.684234318,6.470566467,4.769615602,3.434502982,0.412669416,2.145743852,4.280816885,5.436317899,18_20
137,2008,8.906706568,6.514126764,7.142868738,4.82008656,2.876472457,0.53198993,2.852354304,3.447885773,4.896156927,18_20
138,2009,6.125604005,6.780203311,8.847236042,8.236685014,6.46464577,3.315464222,2.511566142,5.539874182,4.140081729,18_20
139,2010,6.100376183,6.813686055,8.894835097,8.296189474,6.520098102,3.374511437,2.559365999,5.577118582,4.138833218,18_20
140,2011,6.161755595,7.097904553,9.197159411,8.549981589,6.692322332,3.603727443,2.861766747,5.605429402,3.968909178,18_20
141,2012,6.134796829,7.073693122,9.179233658,8.548101131,6.701461971,3.605358441,2.844177106,5.626876476,3.998162465,18_20
142,2013,6.091589421,6.373684148,8.400584638,7.851897409,6.206259385,2.980911183,2.065191708,5.505433905,4.402908495,18_20
143,2014,6.063652417,6.402845531,8.444294516,7.907427852,6.257099505,3.035275783,2.108628107,5.537279372,4.397844881,18_20
144,2015,5.942263581,7.706768493,9.975487602,9.460993622,7.539292356,4.507934017,3.665690993,6.209135507,4.053297991,18_20
145,2016,5.930259987,7.685409945,9.95476056,9.445917118,7.530051975,4.494322361,3.645551834,6.208892847,4.064724331,18_20
146,2017,6.381772285,7.255475584,9.297736915,8.521801697,6.583800641,3.553459352,2.964755586,5.415166568,3.746958314,18_20
147,2018,6.369235757,7.277920737,9.328503798,8.559678396,6.619526197,3.591319795,2.99478799,5.440160779,3.7472103,18_20
148,2019,6.08959684,7.146529196,9.279203299,8.671814548,6.818284248,3.728777868,2.945982079,5.709896869,4.005494782,18_20
