,BUSSTOP_ID,BUSSTOP_NAME,NAME_E,LONGITUDE,LATITUDE,ARS_ID,NEXT_BUSSTOP
3927,6719,평동우체국(동),Pyeong-dong Post Office(East),126.76222677,35.12484044,근형기업,
3928,8237,인계리,Ingye-ri,127.0427628,35.1292953,신보월,
3929,8238,인계리,Ingye-ri,127.04276,35.12928,용강마을,
3930,8239,구산,Gusan,127.0805742,35.130375,장단마을,
3931,8240,구산,Gusan,127.080555,35.130386,야사,
3932,8241,장단마을,Jangdan maeul,127.084308,35.131185,임곡5반,
3933,8242,장단마을,Jangdan maeul,127.0842133,35.13138194,구산,
3934,8243,물염정,Mulyeomjeong,127.105758,35.131584,와천,
3935,8244,물염정,Mulyeomjeong,127.105835,35.13154,신기,
3936,8245,길성,Gilseong,127.12194,35.155773,하다,
3937,8246,길성,Gilseong,127.121893,35.155808,와천,
3938,8247,하다,Hada,127.133242,35.128859,다곡,
3939,8248,하다,Hada,127.1336289,35.128795,길성,
3940,8249,봉녕,Bongnyeong,127.122835,35.065999,동복,
3941,8250,봉녕,Bongnyeong,127.1226578,35.0661125,읍애리,
3942,8251,구봉산,Gubongsan,127.077835,35.037403,구암1리,
3943,8252,구봉산,Gubongsan,127.077793,35.037286,복암,
3944,8253,고초골,Gochogol,127.063038,35.114902,월정,
3945,8254,고초골,Gochogol,127.062711,35.114933,,
3946,8255,월정,Woljeong,127.05925,35.116519,구보월,
3947,8256,월정,Woljeong,127.059307,35.116567,,
3948,8257,임곡5반,Imgok 5-ban,127.089028,35.131893,신기,
3949,8258,임곡5반,Imgok 5-ban,127.089018,35.131961,장단마을,
3950,8259,화순수도원,Hwasun monastery,126.968476,34.951306,우봉리입구,
3951,8260,화순수도원,Hwasun monastery,126.968549,34.951253,춘양삼거리,
3952,8261,경현리마을,Gyeonghyeon-ri maeul,127.082242,35.059861,,
3953,8262,송정입구,Songjeong adit,127.011617,34.868994,송정,
3954,8263,송정입구,Songjeong adit,127.011598,34.869074,율계(리)2구,
3955,8264,도곡사거리,Dogok 4-Way Junc,126.901901,34.999697,,
3956,8265,경현리입구,Gyeonghyeon-ri adit,127.087427,35.05309,,
3957,8266,경현리입구,Gyeonghyeon-ri adit,127.087336,35.053151,,
3958,8267,대비리입구,Daebi-ri adit,126.969885,34.879401,세청리,
3959,8268,대비리입구,Daebi-ri adit,126.969793,34.879445,대비리,
3960,4246,광주디자인센터,Gwangju Design Center,126.84571838,35.22343398,5958,광주교통방송/광주디자인센터
3961,4247,광주디자인센터,Gwangju Design Center,126.84597663,35.22327836,5959,한국전자통신연구원
3962,4249,대덕훼미리아파트,Daedeok Family Apt.,126.81060266,35.15436214,5961,송정주공
3963,4251,돈보스코학교,Don Bosco School,126.7938121,35.18442867,5963,KTX체육기지
3964,4253,동산마을,Dongsan Town,126.7219,35.114336,5965,대덕마을
3965,4255,선운리버프라임아파트,Sunun River Prime Apt,126.7797363,35.15106156,5967,선운휴먼시아
3966,4259,운수마을,Unsu Town,126.7804962,35.15657342,5971,매방골
3967,4261,원사호마을,Wonsaho Town,126.730772,35.21596,5973,
3968,4264,지실마을,jisil Town,126.794022,35.174824,5976,장수동
3969,3488,대곡,Daegok,126.647429,35.228908,6231,삼서우체국
3970,2002,능주고,Neungju High School,126.96006389,34.98651389,6285,능주초교
3971,2015,맥동,Maekddong,126.75393056,35.20279444,5042,임곡교
3972,590,보건대후문,Health University Back Gate,126.84289388,35.19164969,5174,전남공고
3973,3161,산수오거리,Sansu Ogeori,126.9319251,35.15565072,1026,두암지구입구
3974,440,김대중컨벤션센터(마륵)역,Kimdaejung Convention Center (Mareuk) Station,126.84040335,35.14251563,2132,전남고입구
3975,777,서태리1구,Setae-li district 1,126.95089444,35.03950556,6353,역청공장
3976,765,서산초교,Seosan Elementary School,126.90542069,35.18804679,4371,오치1동주민센터
3977,1083,무등산국립공원(원효사),Mudeungsan National Park (Wonhyosa Temple),126.98703056,35.14668889,4304,
3978,3637,송촌동,Songchon-dong,126.77627778,35.13861667,5660,선운휴먼시아
3979,3838,수완진흥더루벤스,Suwan Jinheung The Rubens Apt.,126.81296626,35.19540413,5761,장덕마을
3980,6586,남면사무소,Nam-Myeon Office,126.8128383,35.243855,장성월곡,
3981,6588,남면사무소,Nam-Myeon Office,126.8130133,35.243935,중앙동,
3982,1889,어운,Eoun,126.94508333,35.22687222,4301,주룡
3983,2759,기독병원,Christian Hospital,126.91363333,35.13688333,3173,수피아여고
3984,666,사평중,Sapyeong Middle School,127.089042,35.008092,6281,벽송
3985,195,내남입구,Naenam Entrance,126.94038707,35.09593762,1074,남계육교
3986,937,양동시장역(남),Yangdong Market Station (South),126.90036283,35.15374137,2165,돌고개역(동)
3987,1661,명화동,Myeonghwa-dong ,126.72164167,35.12274444,5467,축산시험장
3988,665,사평중,Sapyeong Middle School,127.088756,35.008015,6280,사평초교
3989,3560,일곡대림2차아파트,Ilgok Daelim 2nd Apt.,126.89934387,35.21041824,4579,일신초교
3990,2030,본량파출소,Bollyang Police Box,126.73060278,35.18124167,5053,신당
3991,1248,용두주공,Yongdu Jugong Apt.,126.87051819,35.21234468,4084,양산타운
3992,3428,금당,Geumdang ,126.86912729,35.24096563,4014,첨단종점
3993,1300,광주지방기상청,Gwangju Regional Meteorological Administration,126.89090556,35.17207222,4446,신안교
3994,1120,유격훈련장,Ranger Training Center,126.90133372,35.21200207,4473,교통연수원입구
3995,2021,장성백운,Jangseong Baegun,126.7816601,35.244141,6217,선평선창마을입구
3996,2602,풍기산업,Poongki Industrial,126.86697778,35.23508611,4126,전남과학대학포스트비
3997,250,한국농어촌공사,Korea Rural Community Corporation,126.86505306,35.15159488,2074,호남대입구
3998,3301,장동마을,Jangdong Village,126.93334847,35.21431579,4308,장등마을
3999,2164,연동,Yeondong,126.70008889,35.12374444,5472,월곡마을
4000,2010,용호(광산구),Yongho (Gwangsan-gu),126.6794701,35.1828201,5074,남동
4001,2836,한국국토정보공사,Korea Land and Geospatial Informatix Corp.,126.84804872,35.15579429,2237,한국수자원공사
4002,619,양림휴먼시아1차,Yangnim Humansia 1st Apt.,126.91309435,35.13405189,3080,양림휴먼시아2차
4003,3374,보강입구,Entrance to Bogang,126.6581704,35.21495746,6229,인지
4004,1034,광주자동화설비공업고,Gwangju Automatic Equipment Technical High School,126.814226,35.152321,5275,대덕아파트
4005,3910,큰별초교,Keunbyeol Elementary School,126.82079759,35.18287838,5179,수완아름공원
