,id,route,dong_name,dist
3308,4458,송암72,운암1동, 북구 
3309,4574,일곡10,양산동, 북구 
3310,2011,진월77,금호1동, 서구 
3311,5763,송암68,하남동, 광산구 
3312,4141,문흥39,동림동, 북구 
3313,4366,용전86,오치1동, 북구 
3314,5191,첨단40,신가동, 광산구 
3315,5011,송정19,도산동, 광산구 
3316,4540,송암47,중흥2동, 북구 
3317,4164,운림35,우산동, 북구 
3318,4164,운림35,우산동, 광산구 
3319,5767,선운14,우산동, 북구 
3320,5767,선운14,우산동, 광산구 
3321,4462,송정29,운암3동, 북구 
3322,3183,매월06,월산5동, 남구 
3323,5159,진월75,송정2동, 광산구 
3324,4425,문흥39,우산동, 북구 
3325,4425,문흥39,우산동, 광산구 
3326,1026,지원15,산수1동, 동구 
3327,2237,518,치평동, 서구 
3328,5187,첨단40,신가동, 광산구 
3329,4496,첨단95,임동, 북구 
3330,5572,문흥18,하남동, 광산구 
3331,2268,송암47,풍암동, 서구 
3332,4435,수완03,운암2동, 북구 
3333,3225,진월78,주월2동, 남구 
3334,3114,봉선27,봉선2동, 남구 
3335,2002,양산60,광천동, 서구 
3336,5743,수완03,신가동, 광산구 
3337,3242,일곡28,진월동, 남구 
3338,2213,지원25,치평동, 서구 
3339,4348,진월07,중흥2동, 북구 
3340,4481,일곡38,일곡동, 북구 
3341,2305,매월61(칠석),화정3동, 서구 
3342,4421,운림54,우산동, 북구 
3343,4421,운림54,우산동, 광산구 
3344,1018,수완03,동명동, 동구 
3345,3129,지원56,봉선2동, 남구 
3346,1018,금호36,동명동, 동구 
3347,4250,금남57,삼각동, 북구 
3348,5159,송정296,송정2동, 광산구 
3349,4475,매월26,일곡동, 북구 
3350,3236,일곡28,진월동, 남구 
3351,1005,금남55,계림1동, 동구 
3352,4151,송암72,동림동, 북구 
3353,3175,금남55,양림동, 남구 
3354,5179,수완49,신가동, 광산구 
3355,5279,선운101,우산동, 북구 
3356,5279,선운101,우산동, 광산구 
3357,4079,마을788,양산동, 북구 
3358,5301,첨단40,운남동, 광산구 
3359,4345,송암72,신안동, 북구 
3360,2065,마을760,상무1동, 서구 
3361,2253,첨단20,풍암동, 서구 
3362,4119,첨단23,양산동, 북구 
3363,2233,첨단22,치평동, 서구 
3364,3280,송암68,주월1동, 남구 
3365,3235,진월75,진월동, 남구 
3366,1163,봉선76,학동, 동구 
3367,2042,봉선37,농성1동, 서구 
3368,1108,지원25,지원1동, 동구 
3369,4451,용봉83,운암2동, 북구 
3370,5168,송정96,송정2동, 광산구 
3371,3079,진월17,방림1동, 남구 
3372,2075,송암72,상무2동, 서구 
3373,4145,상무63,동천동, 서구 
3374,5109,첨단192,비아동, 광산구 
3375,4401,419,용봉동, 북구 
3376,5731,진곡196,수완동, 광산구 
3377,2080,송암73,상무2동, 서구 
3378,3210,일곡28,주월1동, 남구 
3379,1025,1187,산수1동, 동구 
3380,4338,상무64,신안동, 북구 
3381,5159,송정19,송정2동, 광산구 
3382,2021,매월26,금호2동, 서구 
3383,5727,금호46,신가동, 광산구 
3384,4457,봉선27,운암3동, 북구 
3385,5189,송정29,신창동, 광산구 
3386,5279,진곡196,우산동, 북구 
3387,5279,진곡196,우산동, 광산구 
3388,5309,봉선37,우산동, 북구 
3389,5309,봉선37,우산동, 광산구 
3390,1151,수완12,학동, 동구 
3391,3240,송암73,진월동, 남구 
3392,4367,운림35,오치1동, 북구 
3393,4254,송정29,삼각동, 북구 
3394,2232,좌석02,치평동, 서구 
3395,2251,송암47,풍암동, 서구 
3396,5742,마을700,신가동, 광산구 
3397,2232,지원25,치평동, 서구 
3398,4165,두암181,두암1동, 북구 
3399,2310,매월26,화정4동, 서구 
3400,3085,운림50,방림2동, 남구 
3401,1015,두암81(각화초교),동명동, 동구 
3402,2262,진월75,풍암동, 서구 
3403,4557,송정19,중흥3동, 북구 
3404,4537,지원152(능주역),중흥1동, 북구 
3405,4417,일곡38,우산동, 북구 
3406,4417,일곡38,우산동, 광산구 
3407,4557,문흥80,중흥3동, 북구 
3408,2025,진월77,금호2동, 서구 
3409,5294,송정29,운남동, 광산구 
3410,5318,마을700,월곡2동, 광산구 
3411,1002,419,계림1동, 동구 
3412,4580,일곡10,일곡동, 북구 
3413,5580,수완12,하남동, 광산구 
3414,2028,진월77,금호2동, 서구 
3415,2013,매월61(칠석),금호1동, 서구 
3416,2244,진월17,풍암동, 서구 
3417,5746,수완49,수완동, 광산구 
3418,4361,진월07,오치1동, 북구 
3419,4164,운림54,우산동, 북구 
3420,4164,운림54,우산동, 광산구 
3421,3081,봉선27,방림1동, 남구 
3422,3212,진월07,주월1동, 남구 
3423,4504,매월16,임동, 북구 
3424,2266,금남59,풍암동, 서구 
3425,4474,진월07,일곡동, 북구 
3426,2285,송암31,화정1동, 서구 
3427,2268,진월78,풍암동, 서구 
3428,4189,마을788,두암3동, 북구 
3429,4251,마을788,삼각동, 북구 
3430,2051,마을760,광천동, 서구 
3431,2236,상무64,치평동, 서구 
3432,5183,첨단40,신가동, 광산구 
3433,4584,용봉83,용봉동, 북구 
3434,5297,상무62,운남동, 광산구 
3435,3209,진월07,주월1동, 남구 
3436,4457,송암72,운암3동, 북구 
3437,2260,송암72,금호2동, 서구 
3438,4062,일곡10,양산동, 북구 
3439,5177,운림51,신창동, 광산구 
3440,4011,용전85,양산동, 북구 
3441,2087,송암72,상무2동, 서구 
3442,3189,진월79,백운2동, 남구 
3443,2287,매월26,화정2동, 서구 
3444,4339,송암47,신안동, 북구 
3445,3079,지원56,방림1동, 남구 
3446,2291,운림50,월산4동, 남구 
3447,1004,228(화순전대병원),계림1동, 동구 
3448,2069,상무62(상무역행),상무1동, 서구 
3449,3128,봉선76,봉선2동, 남구 
3450,1150,지원152(능주역),학동, 동구 
3451,5156,선운101,송정2동, 광산구 
3452,2078,진월77,상무2동, 서구 
3453,4492,매월16,임동, 북구 
3454,2246,진월75,풍암동, 서구 
3455,5280,송정98,우산동, 북구 
3456,5280,송정98,우산동, 광산구 
3457,4343,518,신안동, 북구 
3458,5279,송정98,우산동, 북구 
3459,5279,송정98,우산동, 광산구 
3460,1149,운림54,학동, 동구 
3461,4179,금남55,두암2동, 북구 
3462,5200,선운101,신창동, 광산구 
3463,4336,송정98,임동, 북구 
3464,5217,송정197,송정2동, 광산구 
3465,1146,지원152(능주역),학동, 동구 
3466,2042,송암74,농성1동, 서구 
3467,2164,첨단30,농성1동, 서구 
3468,4507,518,임동, 북구 
3469,4261,일곡28,일곡동, 북구 
3470,1027,지원15,산수1동, 동구 
3471,4250,매월26,삼각동, 북구 
3472,4253,마을788,삼각동, 북구 
3473,1163,좌석02,학동, 동구 
3474,3216,송암31,주월1동, 남구 
3475,4354,송정98,신안동, 북구 
3476,4642,양산60,운암3동, 북구 
3477,4342,임곡89,신안동, 북구 
3478,2275,봉선37,농성1동, 서구 
3479,3093,송암68,백운2동, 남구 
3480,5730,진곡196,신가동, 광산구 
3481,2058,송암68,농성1동, 서구 
3482,4368,일곡38,오치2동, 북구 
3483,2002,순환01(시청행),광천동, 서구 
3484,5270,송정33,우산동, 북구 
3485,5270,송정33,우산동, 광산구 
3486,1149,운림51,학동, 동구 
3487,4410,문흥18,용봉동, 북구 
3488,5418,첨단20,첨단1동, 광산구 
3489,3216,진월79,주월1동, 남구 
3490,1139,지원15,학동, 동구 
3491,3212,진월79,주월1동, 남구 
3492,5188,첨단94,신가동, 광산구 
3493,4342,518,신안동, 북구 
3494,5963,수완12,하남동, 광산구 
3495,4557,일곡28,중흥3동, 북구 
3496,5417,첨단40,첨단1동, 광산구 
3497,5151,선운101,송정1동, 광산구 
3498,4656,228(화순전대병원),동림동, 북구 
3499,2047,대촌69,농성1동, 서구 
3500,5154,선운101,송정2동, 광산구 
3501,4364,송정19,오치1동, 북구 
3502,1168,운림54,학동, 동구 
3503,2229,상무62,치평동, 서구 
3504,5401,마을700,첨단1동, 광산구 
3505,2232,상무63,치평동, 서구 
3506,4180,진월17,두암2동, 북구 
3507,4436,마을777(우치공원),운암2동, 북구 
3508,4260,지원15,삼각동, 북구 
3509,1036,충효187,산수2동, 동구 
3510,4371,지원15,오치1동, 북구 
3511,4450,상무64,운암2동, 북구 
3512,4461,상무63,운암3동, 북구 
3513,5303,일곡10,운남동, 광산구 
3514,2216,순환01(시청행),치평동, 서구 
3515,5763,선운101,하남동, 광산구 
3516,3197,송암68,월산동, 남구 
