정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
KJB3896,도천저수지,,,Docheon Reservoir,35.21163056,126.8275417,2021-09-16 5:01,5765,24,광주광역시
KJB3897,송화마을3단지,,,Songhwa Village Apt. Complex 3,35.11042154,126.9045997,2021-09-16 5:01,3278,24,광주광역시
KJB3900,망향동산길,,,Manghyangdongsan Road,35.21005278,126.9313917,2021-09-16 5:01,4265,24,광주광역시
KJB3901,망향동산길,,,Manghyangdongsan Road,35.2101,126.9313528,2021-09-16 5:01,4266,24,광주광역시
KJB3902,닭뫼,,,Dakmoe,35.18166111,127.0077417,2021-09-16 5:01,4476,24,광주광역시
KJB3903,닭뫼,,,Dakmoe,35.18165833,127.0077944,2021-09-16 5:01,4477,24,광주광역시
KJB3904,평촌,,,Pyeongchon,35.176154,127.010321,2021-09-16 5:01,4571,24,광주광역시
KJB3907,문화전당역,,,Culture Complex Station,35.14543333,126.9213,2021-09-16 5:01,1131,24,광주광역시
KJB3908,문화전당역,,,Culture Complex Station,35.14628889,126.9188361,2021-09-16 5:01,1130,24,광주광역시
KJB3909,큰별초교,,,Keunbyeol Elementary School,35.18301613,126.8212903,2021-09-16 5:01,5180,24,광주광역시
KJB3910,큰별초교,,,Keunbyeol Elementary School,35.18296389,126.8208861,2021-09-16 5:01,5179,24,광주광역시
KJB3911,수완아름공원,,,Suwan Areum Park,35.18437529,126.8268263,2021-09-16 5:01,5308,24,광주광역시
KJB3912,수완아름공원,,,Suwan Areum Park,35.18459722,126.8275028,2021-09-16 5:01,5307,24,광주광역시
GUB2602510,용호마을,1,,,35.93986893,126.7527542,2021-09-16 5:01,2602510,35020,군산시
GUB2602520,정자마을,1,,,35.99901581,126.7526398,2021-09-16 5:01,2602520,35020,군산시
GUB2602530,원당마을,1,,,35.90873337,126.7526703,2021-09-16 5:01,2602530,35020,군산시
GUB2602540,용호마을,1,,,35.93958282,126.7528305,2021-09-16 5:01,2602540,35020,군산시
GUB2602550,잠두마을,1,,,35.98511505,126.7534638,2021-09-16 5:01,2602550,35020,군산시
GUB2602560,잠두마을,1,,,35.98518372,126.7535019,2021-09-16 5:01,2602560,35020,군산시
GUB2602570,잠두,1,,,35.98223495,126.7540207,2021-09-16 5:01,2602570,35020,군산시
GUB2602580,사옥계,1,,,36.00303268,126.7541962,2021-09-16 5:01,2602580,35020,군산시
GUB2602590,잠두,1,,,35.98271561,126.7542191,2021-09-16 5:01,2602590,35020,군산시
GUB2602600,원당,1,,,35.90361786,126.7549133,2021-09-16 5:01,2602600,35020,군산시
GUB2602610,원당,1,,,35.90375137,126.7548828,2021-09-16 5:01,2602610,35020,군산시
GUB2602620,회현사거리,1,,,35.91353226,126.7557907,2021-09-16 5:01,2602620,35020,군산시
GUB2602630,회현중,1,,,35.91315079,126.7557907,2021-09-16 5:01,2602630,35020,군산시
GUB2602640,힐스톤온천,1,,,35.92364883,126.688118,2021-09-16 5:01,2602640,35020,군산시
GUB2602650,군산간호대학입구,1,,,35.9638176,126.756073,2021-09-16 5:01,2602650,35020,군산시
GUB2602660,회현사거리,1,,,35.91353226,126.7559891,2021-09-16 5:01,2602660,35020,군산시
GUB2602670,회현면사무소,1,,,35.91291428,126.7566071,2021-09-16 5:01,2602670,35020,군산시
GUB2602680,회현면사무소,1,,,35.9126358,126.7565613,2021-09-16 5:01,2602680,35020,군산시
GUB2602690,군산간호대학입구,1,,,35.96341705,126.7570496,2021-09-16 5:01,2602690,35020,군산시
GUB2602700,전중마을,1,,,35.91529846,126.7570343,2021-09-16 5:01,2602700,35020,군산시
GUB2602710,전중마을,1,,,35.91520309,126.7571259,2021-09-16 5:01,2602710,35020,군산시
GUB2602720,하구둑,1,,,36.0130806,126.7571487,2021-09-16 5:01,2602720,35020,군산시
GUB2602730,봉동마을,1,,,35.94563293,126.7574234,2021-09-16 5:01,2602730,35020,군산시
GUB2602740,구암사거리,1,,,35.98455048,126.7573395,2021-09-16 5:01,2602740,35020,군산시
GUB2602750,구암사거리,1,,,35.98414993,126.7575226,2021-09-16 5:01,2602750,35020,군산시
GUB2602760,우동마을,1,,,35.93693542,126.7581711,2021-09-16 5:01,2602760,35020,군산시
GUB2602770,우동1길,1,,,35.93706894,126.7582703,2021-09-16 5:01,2602770,35020,군산시
GUB2602780,채만식문학관,1,,,36.00769806,126.7575378,2021-09-16 5:01,2602780,35020,군산시
